Dealer_ID,Product_ID,Date,Quantity,Consumption,Location
D000,P001,2022-01-24,20,11,New York
D000,P001,2022-01-25,53,14,New York
D000,P001,2022-01-26,48,12,Los Angeles
D000,P001,2022-01-27,45,18,Los Angeles
D000,P001,2022-01-28,84,13,Chicago
D000,P001,2022-01-29,46,18,Los Angeles
D000,P001,2022-01-30,47,11,New York
D000,P001,2022-02-01,79,17,New York
D000,P001,2022-02-02,73,13,Los Angeles
D000,P001,2022-02-03,50,6,Chicago
D000,P001,2022-02-04,32,9,Chicago
D000,P001,2022-02-05,26,8,New York
D000,P001,2022-02-06,57,11,New York
D000,P001,2022-02-07,61,19,New York
D000,P001,2022-02-08,47,14,Chicago
D000,P001,2022-02-09,57,14,New York
D000,P001,2022-02-10,79,19,New York
D000,P001,2022-02-11,91,5,Los Angeles
D000,P001,2022-02-12,41,6,Los Angeles
D000,P001,2022-02-13,29,19,Chicago
D000,P001,2022-02-14,65,7,New York
D000,P001,2022-02-15,63,8,New York
D000,P001,2022-02-16,56,16,Los Angeles
D000,P001,2022-02-17,92,5,Los Angeles
D000,P001,2022-02-18,29,6,New York
D000,P001,2022-02-19,31,6,Los Angeles
D000,P001,2022-02-20,45,7,Chicago
D000,P001,2022-02-21,38,14,Chicago
D000,P001,2022-02-22,24,8,Chicago
D000,P001,2022-02-23,82,17,Los Angeles
D000,P001,2022-02-24,55,18,Chicago
D000,P001,2022-02-25,64,7,Chicago
D000,P001,2022-02-26,37,7,Chicago
D000,P001,2022-02-27,64,11,Los Angeles
D000,P001,2022-02-28,82,11,Los Angeles
D000,P001,2022-02-29,31,10,New York
D000,P001,2022-02-30,84,14,Los Angeles
D000,P001,2022-03-01,60,12,Chicago
D000,P001,2022-03-02,87,16,Los Angeles
D000,P001,2022-03-03,76,19,New York
D000,P001,2022-03-04,89,13,Los Angeles
D000,P001,2022-03-05,66,18,New York
D000,P001,2022-03-06,84,7,Los Angeles
D000,P001,2022-03-07,46,14,Los Angeles
D000,P001,2022-03-08,18,7,New York
D000,P001,2022-03-09,30,15,New York
D000,P001,2022-03-10,54,5,New York
D000,P001,2022-03-11,87,7,New York
D000,P001,2022-03-12,72,5,Chicago
D000,P001,2022-03-13,73,14,New York
D000,P001,2022-03-14,72,16,Los Angeles
D000,P001,2022-03-15,67,12,Chicago
D000,P001,2022-03-16,24,12,Los Angeles
D000,P001,2022-03-17,51,14,Chicago
D000,P001,2022-03-18,92,6,Los Angeles
D000,P001,2022-03-19,72,9,New York
D000,P001,2022-03-20,87,11,New York
D000,P001,2022-03-21,33,15,Chicago
D000,P001,2022-03-22,68,18,Los Angeles
D000,P001,2022-03-23,34,17,New York
D000,P001,2022-03-24,96,19,Chicago
D000,P001,2022-03-25,60,6,Chicago
D000,P001,2022-03-26,44,19,Chicago
D000,P001,2022-03-27,25,5,Los Angeles
D000,P001,2022-03-28,57,12,Chicago
D000,P001,2022-03-29,59,5,Chicago
D000,P001,2022-03-30,34,10,Los Angeles
D000,P002,2022-01-01,49,6,New York
D000,P002,2022-01-02,61,16,Chicago
D000,P002,2022-01-03,39,14,Chicago
D000,P002,2022-01-04,72,17,New York
D000,P002,2022-01-05,93,9,Chicago
D000,P002,2022-01-06,39,9,Los Angeles
D000,P002,2022-01-07,90,15,Los Angeles
D000,P002,2022-01-08,71,18,New York
D000,P002,2022-01-09,84,12,Chicago
D000,P002,2022-01-10,99,19,Chicago
D000,P002,2022-01-11,17,17,New York
D000,P002,2022-01-12,92,15,New York
D000,P002,2022-01-13,99,18,New York
D000,P002,2022-01-14,91,10,Los Angeles
D000,P002,2022-01-15,67,17,Los Angeles
D000,P002,2022-01-16,76,6,Los Angeles
D000,P002,2022-01-17,48,11,Chicago
D000,P002,2022-01-18,43,19,Los Angeles
D000,P002,2022-01-19,84,6,New York
D000,P002,2022-01-20,39,19,Chicago
D000,P002,2022-01-21,61,7,Chicago
D000,P002,2022-01-22,84,18,Chicago
D000,P002,2022-01-23,94,19,New York
D000,P002,2022-01-24,68,5,Los Angeles
D000,P002,2022-01-25,76,12,Los Angeles
D000,P002,2022-01-26,40,6,Los Angeles
D000,P002,2022-01-27,52,6,New York
D000,P002,2022-01-28,33,12,Los Angeles
D000,P002,2022-01-29,43,9,Chicago
D000,P002,2022-01-30,48,7,Los Angeles
D000,P002,2022-02-01,23,10,Chicago
D000,P002,2022-02-02,17,19,New York
D000,P002,2022-02-03,97,11,Los Angeles
D000,P002,2022-02-04,78,8,Los Angeles
D000,P002,2022-02-05,51,11,Chicago
D000,P002,2022-02-06,44,14,New York
D000,P002,2022-02-07,38,13,Chicago
D000,P002,2022-02-08,48,6,New York
D000,P002,2022-02-09,93,19,New York
D000,P002,2022-02-10,30,10,Chicago
D000,P002,2022-02-11,28,9,Chicago
D000,P002,2022-02-12,51,16,Chicago
D000,P002,2022-02-13,81,14,Los Angeles
D000,P002,2022-02-14,82,10,Los Angeles
D000,P002,2022-02-15,77,17,Chicago
D000,P002,2022-02-16,65,17,Los Angeles
D000,P002,2022-02-17,22,11,New York
D000,P002,2022-02-18,41,16,Los Angeles
D000,P002,2022-02-19,33,17,Los Angeles
D000,P002,2022-02-20,68,10,Los Angeles
D000,P002,2022-02-21,53,17,Los Angeles
D000,P002,2022-02-22,50,5,New York
D000,P002,2022-02-23,84,11,Los Angeles
D000,P002,2022-02-24,23,19,Los Angeles
D000,P002,2022-02-25,14,7,New York
D000,P002,2022-02-26,22,10,New York
D000,P002,2022-02-27,57,19,Los Angeles
D000,P002,2022-02-28,26,12,Chicago
D000,P002,2022-02-29,35,6,Los Angeles
D000,P002,2022-02-30,21,5,Chicago
D000,P002,2022-03-01,11,19,New York
D000,P002,2022-03-02,42,15,Los Angeles
D000,P002,2022-03-03,51,15,Los Angeles
D000,P002,2022-03-04,52,12,Los Angeles
D000,P002,2022-03-05,34,18,Chicago
D000,P002,2022-03-06,82,10,Chicago
D000,P002,2022-03-07,79,8,New York
D000,P002,2022-03-08,31,11,Los Angeles
D000,P002,2022-03-09,36,8,Los Angeles
D000,P002,2022-03-10,57,16,Chicago
D000,P002,2022-03-11,56,6,New York
D000,P002,2022-03-12,42,6,Chicago
D000,P002,2022-03-13,46,18,New York
D000,P002,2022-03-14,29,14,New York
D000,P002,2022-03-15,70,8,Los Angeles
D000,P002,2022-03-16,53,10,Chicago
D000,P002,2022-03-17,96,5,Los Angeles
D000,P002,2022-03-18,67,17,Chicago
D000,P002,2022-03-19,54,6,Los Angeles
D000,P002,2022-03-20,54,15,New York
D000,P002,2022-03-21,34,18,Los Angeles
D000,P002,2022-03-22,37,8,Chicago
D000,P002,2022-03-23,51,18,Los Angeles
D000,P002,2022-03-24,34,14,Chicago
D000,P002,2022-03-25,84,5,Los Angeles
D000,P002,2022-03-26,73,18,New York
D000,P002,2022-03-27,50,15,Chicago
D000,P002,2022-03-28,43,15,New York
D000,P002,2022-03-29,78,13,Chicago
D000,P002,2022-03-30,61,13,Chicago
D000,P003,2022-01-01,27,16,Chicago
D000,P003,2022-01-02,18,15,Los Angeles
D000,P003,2022-01-03,72,17,Chicago
D000,P003,2022-01-04,28,15,New York
D000,P003,2022-01-05,59,12,New York
D000,P003,2022-01-06,92,6,Los Angeles
D000,P003,2022-01-07,10,19,New York
D000,P003,2022-01-08,73,18,Los Angeles
D000,P003,2022-01-09,24,19,Los Angeles
D000,P003,2022-01-10,97,13,Chicago
D000,P003,2022-01-11,37,16,Los Angeles
D000,P003,2022-01-12,84,15,Los Angeles
D000,P003,2022-01-13,34,12,Chicago
D000,P003,2022-01-14,12,5,Los Angeles
D000,P003,2022-01-15,45,10,New York
D000,P003,2022-01-16,76,15,New York
D000,P003,2022-01-17,60,16,Chicago
D000,P003,2022-01-18,29,15,Los Angeles
D000,P003,2022-01-19,27,19,Chicago
D000,P003,2022-01-20,43,8,New York
D000,P003,2022-01-21,20,7,New York
D000,P003,2022-01-22,70,6,Los Angeles
D000,P003,2022-01-23,71,8,New York
D000,P003,2022-01-24,18,11,Chicago
D000,P003,2022-01-25,14,19,New York
D000,P003,2022-01-26,44,19,Chicago
D000,P003,2022-01-27,56,6,Los Angeles
D000,P003,2022-01-28,56,5,Los Angeles
D000,P003,2022-01-29,64,17,Chicago
D000,P003,2022-01-30,31,6,Los Angeles
D000,P003,2022-02-01,12,11,Los Angeles
D000,P003,2022-02-02,88,16,New York
D000,P003,2022-02-03,32,14,Chicago
D000,P003,2022-02-04,88,12,Los Angeles
D000,P003,2022-02-05,41,17,Chicago
D000,P003,2022-02-06,91,11,New York
D000,P003,2022-02-07,66,12,Los Angeles
D000,P003,2022-02-08,27,9,New York
D000,P003,2022-02-09,95,14,Chicago
D000,P003,2022-02-10,98,5,New York
D000,P003,2022-02-11,55,12,New York
D000,P003,2022-02-12,54,8,Los Angeles
D000,P003,2022-02-13,46,9,Chicago
D000,P003,2022-02-14,12,18,New York
D000,P003,2022-02-15,96,7,Los Angeles
D000,P003,2022-02-16,20,7,Chicago
D000,P003,2022-02-17,29,18,Los Angeles
D000,P003,2022-02-18,88,18,New York
D000,P003,2022-02-19,20,17,Chicago
D000,P003,2022-02-20,38,12,Los Angeles
D000,P003,2022-02-21,87,17,Los Angeles
D000,P003,2022-02-22,43,10,Chicago
D000,P003,2022-02-23,14,19,Los Angeles
D000,P003,2022-02-24,77,14,Los Angeles
D000,P003,2022-02-25,54,9,Los Angeles
D000,P003,2022-02-26,30,6,New York
D000,P003,2022-02-27,60,8,Chicago
D000,P003,2022-02-28,97,14,Chicago
D000,P003,2022-02-29,44,12,Los Angeles
D000,P003,2022-02-30,95,18,New York
D000,P003,2022-03-01,57,11,Los Angeles
D000,P003,2022-03-02,97,11,New York
D000,P003,2022-03-03,33,17,Los Angeles
D000,P003,2022-03-04,74,15,Chicago
D000,P003,2022-03-05,61,19,Chicago
D000,P003,2022-03-06,17,13,Los Angeles
D000,P003,2022-03-07,65,13,Chicago
D000,P003,2022-03-08,45,6,New York
D000,P003,2022-03-09,34,7,Chicago
D000,P003,2022-03-10,18,16,New York
D000,P003,2022-03-11,54,18,Los Angeles
D000,P003,2022-03-12,50,11,Chicago
D000,P003,2022-03-13,48,15,New York
D000,P003,2022-03-14,71,12,Chicago
D000,P003,2022-03-15,27,12,New York
D000,P003,2022-03-16,17,6,Chicago
D000,P003,2022-03-17,70,15,New York
D000,P003,2022-03-18,22,19,Los Angeles
D000,P003,2022-03-19,13,13,New York
D000,P003,2022-03-20,23,8,New York
D000,P003,2022-03-21,92,9,Chicago
D000,P003,2022-03-22,17,19,Los Angeles
D000,P003,2022-03-23,22,19,Chicago
D000,P003,2022-03-24,78,5,Los Angeles
D000,P003,2022-03-25,65,18,Chicago
D000,P003,2022-03-26,32,16,New York
D000,P003,2022-03-27,54,16,New York
D000,P003,2022-03-28,21,15,Los Angeles
D000,P003,2022-03-29,25,12,New York
D000,P003,2022-03-30,36,14,Los Angeles
D000,P004,2022-01-01,58,10,New York
D000,P004,2022-01-02,22,17,Chicago
D000,P004,2022-01-03,78,12,New York
D000,P004,2022-01-04,79,12,Los Angeles
D000,P004,2022-01-05,38,7,New York
D000,P004,2022-01-06,79,18,New York
D000,P004,2022-01-07,80,13,Los Angeles
D000,P004,2022-01-08,35,10,Chicago
D000,P004,2022-01-09,33,15,Los Angeles
D000,P004,2022-01-10,43,8,Chicago
D000,P004,2022-01-11,64,10,Chicago
D000,P004,2022-01-12,61,10,Chicago
D000,P004,2022-01-13,58,12,New York
D000,P004,2022-01-14,11,19,Los Angeles
D000,P004,2022-01-15,10,15,Los Angeles
D000,P004,2022-01-16,50,18,New York
D000,P004,2022-01-17,55,19,Chicago
D000,P004,2022-01-18,54,17,Los Angeles
D000,P004,2022-01-19,76,17,Chicago
D000,P004,2022-01-20,20,13,Chicago
D000,P004,2022-01-21,75,16,Los Angeles
D000,P004,2022-01-22,21,18,Chicago
D000,P004,2022-01-23,22,9,Chicago
D000,P004,2022-01-24,40,7,Chicago
D000,P004,2022-01-25,96,15,Los Angeles
D000,P004,2022-01-26,96,12,Los Angeles
D000,P004,2022-01-27,28,13,Chicago
D000,P004,2022-01-28,97,5,Chicago
D000,P004,2022-01-29,39,13,New York
D000,P004,2022-01-30,23,5,Los Angeles
D000,P004,2022-02-01,24,18,Los Angeles
D000,P004,2022-02-02,86,14,Los Angeles
D000,P004,2022-02-03,37,18,Los Angeles
D000,P004,2022-02-04,57,18,Chicago
D000,P004,2022-02-05,21,8,Los Angeles
D000,P004,2022-02-06,86,10,Los Angeles
D000,P004,2022-02-07,44,11,Los Angeles
D000,P004,2022-02-08,14,5,Chicago
D000,P004,2022-02-09,10,14,New York
D000,P004,2022-02-10,87,7,Chicago
D000,P004,2022-02-11,75,8,Chicago
D000,P004,2022-02-12,72,15,Chicago
D000,P004,2022-02-13,43,17,New York
D000,P004,2022-02-14,44,10,New York
D000,P004,2022-02-15,63,5,Chicago
D000,P004,2022-02-16,30,16,Chicago
D000,P004,2022-02-17,83,13,New York
D000,P004,2022-02-18,66,17,Chicago
D000,P004,2022-02-19,79,8,Chicago
D000,P004,2022-02-20,49,8,Los Angeles
D000,P004,2022-02-21,75,17,Los Angeles
D000,P004,2022-02-22,69,7,New York
D000,P004,2022-02-23,71,16,New York
D000,P004,2022-02-24,50,11,Los Angeles
D000,P004,2022-02-25,92,7,Chicago
D000,P004,2022-02-26,73,7,New York
D000,P004,2022-02-27,47,19,Los Angeles
D000,P004,2022-02-28,63,11,New York
D000,P004,2022-02-29,24,14,Los Angeles
D000,P004,2022-02-30,74,13,Chicago
D000,P004,2022-03-01,52,14,Chicago
D000,P004,2022-03-02,29,9,New York
D000,P004,2022-03-03,79,5,New York
D000,P004,2022-03-04,18,6,New York
D000,P004,2022-03-05,51,5,Los Angeles
D000,P004,2022-03-06,24,10,New York
D000,P004,2022-03-07,80,16,Los Angeles
D000,P004,2022-03-08,97,5,Los Angeles
D000,P004,2022-03-09,54,11,Chicago
D000,P004,2022-03-10,47,14,Chicago
D000,P004,2022-03-11,51,8,Los Angeles
D000,P004,2022-03-12,10,5,Los Angeles
D000,P004,2022-03-13,28,9,New York
D000,P004,2022-03-14,82,7,Chicago
D000,P004,2022-03-15,58,8,New York
D000,P004,2022-03-16,67,16,Los Angeles
D000,P004,2022-03-17,14,10,Los Angeles
D000,P004,2022-03-18,67,5,Chicago
D000,P004,2022-03-19,48,15,New York
D000,P004,2022-03-20,31,13,New York
D000,P004,2022-03-21,97,7,New York
D000,P004,2022-03-22,92,12,Chicago
D000,P004,2022-03-23,45,6,Chicago
D000,P004,2022-03-24,28,16,Los Angeles
D000,P004,2022-03-25,37,12,New York
D000,P004,2022-03-26,77,12,Los Angeles
D000,P004,2022-03-27,67,9,Chicago
D000,P004,2022-03-28,68,16,Chicago
D000,P004,2022-03-29,28,16,Los Angeles
D000,P004,2022-03-30,88,16,Chicago
D000,P005,2022-01-01,69,12,Chicago
D000,P005,2022-01-02,15,11,New York
D000,P005,2022-01-03,98,16,Los Angeles
D000,P005,2022-01-04,36,13,Chicago
D000,P005,2022-01-05,83,15,New York
D000,P005,2022-01-06,86,11,Chicago
D000,P005,2022-01-07,41,13,New York
D000,P005,2022-01-08,11,15,Los Angeles
D000,P005,2022-01-09,55,18,New York
D000,P005,2022-01-10,49,17,Chicago
D000,P005,2022-01-11,78,19,Los Angeles
D000,P005,2022-01-12,74,19,Chicago
D000,P005,2022-01-13,29,8,Chicago
D000,P005,2022-01-14,92,6,Los Angeles
D000,P005,2022-01-15,83,12,Chicago
D000,P005,2022-01-16,62,5,Chicago
D000,P005,2022-01-17,69,17,Los Angeles
D000,P005,2022-01-18,65,12,Chicago
D000,P005,2022-01-19,49,11,Chicago
D000,P005,2022-01-20,31,8,Chicago
D000,P005,2022-01-21,60,14,Los Angeles
D000,P005,2022-01-22,57,16,New York
D000,P005,2022-01-23,88,6,Chicago
D000,P005,2022-01-24,15,12,Chicago
D000,P005,2022-01-25,78,9,Chicago
D000,P005,2022-01-26,90,19,Chicago
D000,P005,2022-01-27,42,15,New York
D000,P005,2022-01-28,76,8,Los Angeles
D000,P005,2022-01-29,17,17,Chicago
D000,P005,2022-01-30,29,9,Los Angeles
D000,P005,2022-02-01,99,10,Chicago
D000,P005,2022-02-02,96,8,Los Angeles
D000,P005,2022-02-03,23,12,Los Angeles
D000,P005,2022-02-04,60,18,Chicago
D000,P005,2022-02-05,61,7,Chicago
D000,P005,2022-02-06,58,6,New York
D000,P005,2022-02-07,16,15,Los Angeles
D000,P005,2022-02-08,60,14,Los Angeles
D000,P005,2022-02-09,15,9,Chicago
D000,P005,2022-02-10,95,15,Chicago
D000,P005,2022-02-11,36,5,Chicago
D000,P005,2022-02-12,21,6,Los Angeles
D000,P005,2022-02-13,12,10,New York
D000,P005,2022-02-14,71,12,Chicago
D000,P005,2022-02-15,11,15,New York
D000,P005,2022-02-16,49,12,New York
D000,P005,2022-02-17,25,10,Los Angeles
D000,P005,2022-02-18,90,17,Chicago
D000,P005,2022-02-19,15,9,New York
D000,P005,2022-02-20,29,15,Los Angeles
D000,P005,2022-02-21,11,17,Chicago
D000,P005,2022-02-22,93,7,Los Angeles
D000,P005,2022-02-23,79,12,Los Angeles
D000,P005,2022-02-24,43,18,New York
D000,P005,2022-02-25,87,7,Chicago
D000,P005,2022-02-26,24,17,New York
D000,P005,2022-02-27,11,5,Los Angeles
D000,P005,2022-02-28,29,6,New York
D000,P005,2022-02-29,51,19,New York
D000,P005,2022-02-30,36,15,New York
D000,P005,2022-03-01,46,5,New York
D000,P005,2022-03-02,53,5,Chicago
D000,P005,2022-03-03,20,13,Los Angeles
D000,P005,2022-03-04,23,12,New York
D000,P005,2022-03-05,11,17,Chicago
D000,P005,2022-03-06,13,6,Los Angeles
D000,P005,2022-03-07,30,18,Los Angeles
D000,P005,2022-03-08,43,12,Chicago
D000,P005,2022-03-09,77,15,Chicago
D000,P005,2022-03-10,39,7,New York
D000,P005,2022-03-11,97,16,Los Angeles
D000,P005,2022-03-12,68,11,New York
D000,P005,2022-03-13,92,19,Los Angeles
D000,P005,2022-03-14,77,8,New York
D000,P005,2022-03-15,10,9,New York
D000,P005,2022-03-16,52,13,Chicago
D000,P005,2022-03-17,57,7,Chicago
D000,P005,2022-03-18,88,19,New York
D000,P005,2022-03-19,90,10,Los Angeles
D000,P005,2022-03-20,80,5,Chicago
D000,P005,2022-03-21,60,14,Chicago
D000,P005,2022-03-22,73,15,New York
D000,P005,2022-03-23,13,7,New York
D000,P005,2022-03-24,85,7,Los Angeles
D000,P005,2022-03-25,81,19,New York
D000,P005,2022-03-26,48,14,Chicago
D000,P005,2022-03-27,19,5,Los Angeles
D000,P005,2022-03-28,23,7,New York
D000,P005,2022-03-29,55,15,Los Angeles
D000,P005,2022-03-30,28,14,New York
D000,P006,2022-01-01,18,6,New York
D000,P006,2022-01-02,52,12,Los Angeles
D000,P006,2022-01-03,69,14,Chicago
D000,P006,2022-01-04,79,17,Chicago
D000,P006,2022-01-05,60,15,Chicago
D000,P006,2022-01-06,37,9,Los Angeles
D000,P006,2022-01-07,40,18,New York
D000,P006,2022-01-08,62,11,Los Angeles
D000,P006,2022-01-09,25,10,Los Angeles
D000,P006,2022-01-10,66,17,New York
D000,P006,2022-01-11,31,10,Los Angeles
D000,P006,2022-01-12,23,10,Los Angeles
D000,P006,2022-01-13,75,15,Los Angeles
D000,P006,2022-01-14,70,12,Chicago
D000,P006,2022-01-15,73,16,Chicago
D000,P006,2022-01-16,76,17,Los Angeles
D000,P006,2022-01-17,93,5,Chicago
D000,P006,2022-01-18,82,13,Los Angeles
D000,P006,2022-01-19,24,14,New York
D000,P006,2022-01-20,80,8,Los Angeles
D000,P006,2022-01-21,14,11,Los Angeles
D000,P006,2022-01-22,24,18,Los Angeles
D000,P006,2022-01-23,36,13,Chicago
D000,P006,2022-01-24,15,19,Chicago
D000,P006,2022-01-25,52,7,Los Angeles
D000,P006,2022-01-26,61,9,Chicago
D000,P006,2022-01-27,15,11,New York
D000,P006,2022-01-28,83,8,New York
D000,P006,2022-01-29,55,16,New York
D000,P006,2022-01-30,35,8,Los Angeles
D000,P006,2022-02-01,14,7,New York
D000,P006,2022-02-02,65,17,Los Angeles
D000,P006,2022-02-03,56,12,Los Angeles
D000,P006,2022-02-04,72,9,Los Angeles
D000,P006,2022-02-05,40,5,New York
D000,P006,2022-02-06,34,16,New York
D000,P006,2022-02-07,69,14,Los Angeles
D000,P006,2022-02-08,31,14,Chicago
D000,P006,2022-02-09,46,19,Chicago
D000,P006,2022-02-10,65,10,Chicago
D000,P006,2022-02-11,44,7,New York
D000,P006,2022-02-12,41,15,New York
D000,P006,2022-02-13,34,5,Los Angeles
D000,P006,2022-02-14,19,18,Chicago
D000,P006,2022-02-15,65,13,Chicago
D000,P006,2022-02-16,80,18,Chicago
D000,P006,2022-02-17,42,13,Chicago
D000,P006,2022-02-18,46,19,Chicago
D000,P006,2022-02-19,67,19,Los Angeles
D000,P006,2022-02-20,91,14,Chicago
D000,P006,2022-02-21,26,13,Chicago
D000,P006,2022-02-22,23,5,New York
D000,P006,2022-02-23,33,7,Los Angeles
D000,P006,2022-02-24,84,19,Los Angeles
D000,P006,2022-02-25,93,17,Chicago
D000,P006,2022-02-26,55,18,New York
D000,P006,2022-02-27,25,17,Los Angeles
D000,P006,2022-02-28,33,10,New York
D000,P006,2022-02-29,42,13,Los Angeles
D000,P006,2022-02-30,45,13,Los Angeles
D000,P006,2022-03-01,70,12,Chicago
D000,P006,2022-03-02,41,11,New York
D000,P006,2022-03-03,95,13,New York
D000,P006,2022-03-04,38,11,Los Angeles
D000,P006,2022-03-05,82,12,New York
D000,P006,2022-03-06,40,9,Chicago
D000,P006,2022-03-07,14,19,New York
D000,P006,2022-03-08,50,9,Los Angeles
D000,P006,2022-03-09,19,9,Chicago
D000,P006,2022-03-10,44,6,Los Angeles
D000,P006,2022-03-11,12,10,Chicago
D000,P006,2022-03-12,81,15,Chicago
D000,P006,2022-03-13,70,5,New York
D000,P006,2022-03-14,52,11,New York
D000,P006,2022-03-15,60,12,New York
D000,P006,2022-03-16,41,15,Chicago
D000,P006,2022-03-17,60,15,Chicago
D000,P006,2022-03-18,36,8,Chicago
D000,P006,2022-03-19,92,5,Los Angeles
D000,P006,2022-03-20,65,19,Los Angeles
D000,P006,2022-03-21,79,10,Chicago
D000,P006,2022-03-22,96,11,Chicago
D000,P006,2022-03-23,31,15,New York
D000,P006,2022-03-24,93,17,Los Angeles
D000,P006,2022-03-25,16,12,New York
D000,P006,2022-03-26,14,14,Los Angeles
D000,P006,2022-03-27,39,9,Los Angeles
D000,P006,2022-03-28,20,11,New York
D000,P006,2022-03-29,20,17,Los Angeles
D000,P006,2022-03-30,88,6,Chicago
